Yogg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doublestrike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taubidd,b,,b,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darkkrystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xfinalx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaaron,,,0,b,,b,,,,,,,b,,0,,b,b,b,b,,,0,,,0,,,,b,,,,b,,,b,0,b,,b,,X,,,,,,b,0,,,0,b,,,b,0,,,,,,X,0,,,,X,,,,0,,,,,,b,0,b,,b,,,,b,,,,,,,,,,,,,,,,,,,X,0,,0,,,0,,,,,X,0,,,,,,,b,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,0,,,b,b,,,b,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,X,0,0,,,,,,0,b,X,,,,,b,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynk,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,x,,x,x,,x,,,,,,,x,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,x,,,x,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yurasan,b,b,,,,,,b,,,,,,b,,,,,X,b,,,,,b,,,,,b,b,,,,,b,b,,,,,,X,,,,,b,X,,,,,,,,,,,b,,,,X,,,,,,b,,,,,b,,,b,b,,,,,b,,,,,,,,,,,,,,,,,,,,,,b,,,,b,,,,,,b,X,,,,,,b,,,,,b,,,,,,,,,,,,,,,,,b,b,,,,b,,,,,b,X,,,,,,b,,,,,b,,,,,,,,,,,,,,,,,,b,,,,,,b,,,,,,b,,X,X,,,,,,,,,,,b,,,,,,,,,,b,b,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,X,,X,X,,X,X,X,X,X,,,,,,,,,,,X,X,X,X,X
Yurotaru,,,,b,,b,b,,,,b,b,b,,,b,,,,,,b,b,b,,b,b,,b,,,,,,b,,,,b,b,,b,,,,,,,,,b,,,,,b,,x,,,,,,,,b,,,X,,b,,b,,,,,,,,b,,,,b,,b,b,,,,,,,b,,,,,,,,,,,,,,,,b,b,,,b,,,,b,,b,b,,b,,b,b,,,,,,,,,,,,,,,,,b,,,b,X,,,,X,,b,,,,b,,,b,,b,,b,,,,,,,,X,,,,,,,B,,,,b,,,,X,,b,,,,,,,,,,,,,b,b,,,,,,X,,,b,b,,,x,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,X,X,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Ziggystardust,,,,,,x,,b,b,,b,,,,,,b,,,b,b,b,,,,,x,,,,0,0,,,,,,,,,,,,,b,,,,,,,b,,b,,,,,b,b,,,,,,,0,,b,,,,,b,b,,,,,,,b,b,,,,,b,0,,,,,,,0,,,x,,,,x,,,,,,,,,,,,,,,,,0,,x,,,,,b,0,O,,,,,,,O,,x,,,,,x,,,,,X,,O,O,,,,,,,,b,,x,,,,,b,b,,,,,,,O,,x,,,,,b,O,,,,,,x,,,o,x,,,,,,,,,,,,,b,0,,,b,b,,,,,,,,,b,b,b,b,,,,,,,,,,,,,,O,O,,,X,X,,,,,,,,,X,X,O,O,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,
Zizashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shizoki,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,o,,,,,,x,,,,,o,x,,,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,o,x,,,,,,,,,,,,,o,,,,,,,x,,,o,x,,,,,,,,,,,,,,,o,x,,,,,,,,,,x,,,o,,,,,,,,,o,x,,,,,,,,,,x,,,,o,x,,,,,,,,,x,x,,,,o,,,,,,,,,,,,o,,x,x,,,,,,,,,,,,,,,,,x,,,x,,,,,o,,,o,o,o,o,,,,,,,,,,,,,,,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Antivenom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,o,,,X,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,X,x,,,x,,,,,,,,,,,,q,,,,,,,,x,,,,,,,,,,,X,X,,,,x,X,,,X,,X,,,X,,X,X,,,,,,X,x,,,,,x,,,,,,,,,X,x,,,,X,X,,,X,,X,,x,,X,,,,X,,,X,,,,,,,,,,,o,,,,,,,X,,,,,,,,,,X,,,,,X,,,X,,X,X,,,,,,,x,X,X,X,,,X,,X,X,,,X,X,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x
Taozen,,,X,,,0,,,,,,,,,,,,,,b,,,,,,,0,,,b,0,,,,,b,b,X,,,,,b,,,,,b,X,X,,,,0,b,,,,,X,,,b,b,X,,,,0,b,,,,,b,,,,b,,,,,,,,,,b,,,b,X,,,,,,x,,,,,,,X,O,,,,,,,,,,b,X,,,,0,b,,,,,0,O,,,,X,O,,,,,,,,,,,,,,,,,,,,,b,,X,,,,0,b,,,,,b,,,,X,o,,,,,,,,,,O,,,x,,,,,,,,,,,,b,b,X,b,X,X,,,,,,,0,0,b,b,,,,,,,,,X,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mightypickle,,,b,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,b,,,,,b,,,,,,b,b,,b,,X,,,,,,0,,,,b,b,b,X,,X,,,,,,0,,,,,,,,,,,,,,,,,,b,X,,X,,,,,,,,,,X,X,b,,,,,O,,,,b,b,,,0,,,,,,,0,O,,,,X,X,,X,,X,,,,,,,,,,,,,,,,,,,b,,b,,,,,,,,0,,,,X,X,,b,,,,,,,,O,,,,,,,,,,,,,,,,,b,b,b,b,b,,b,X,,,X,X,,,,,,,,,,,x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kcried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,x,,,,X,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,x,x,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wonton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jellobiafresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cernos,,,,x,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,x,,x,,,,,,,,,,,x,,,x,,,,,,,x,,,,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,x,,,x,,,,,,,x,,x,,x,,,,,,,,,x,,,x,,,,,,,x,,,,,x,,,x,,,,,,,x,,,,x,x,,,,,,,,,,,,x,x,,,,,x,x,,,,,,,,,,,,,x,x,,,,,,,,,,x,x,,,,,,x,,,,,,,,,,,,,x,x,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,
Soresu,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennosuke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYLON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratherbedusty,b,b,,,,0,,X,,,,,,,,,0,,,X,,,,,X,,b,,,,X,,,,,,b,,,,,,,,,,,X,,,,,,0,,,,,,X,,,X,,,,,,0,,,,,,X,,,b,,,,,0,b,,,,,X,,,X,,,,,,0,,,,,,,,,,,,,,,,,,b,,,,,,b,,,,,,b,b,,,b,,,,,,0,,,,,,,,X,,b,,b,,,,,b,,,,,,0,,,,,,X,,,X,,,,,,0,,,,,,X,,,X,,,b,,,b,,,,,,X,X,,,,,,,,,,,0,0,,,,,,,,,,,X,X,,,X,,,X,X,,,,,,,,,,,0,0,,,,,,,,,,,X,X,X,,0,X,X,X,X,X,,,,,,,,,,,,,,,
